"","Code_ADN","Code","Nind","X50.floraison","Nbtalles","Epiaison","Longbrin","Diambrin","LongEpi","DiamEpi","PEpi","P1000","Pgrains","Tutiles","Tsteriles","essai","repetition","ID"
"778","Sa-8-12129-01","Ma_125",5,90,12.6,90.6,248,2,54,2.5,69.5,5.08,42.864,5,7.2,"C","7",778
"779","Sa-8-12129-02","Ma_126",5,92,11.8,91.6,298.8,1.98,59.8,2.74,72.554,5.564,50.538,5.4,6.2,"C","7",779
"780","Sa-8-12129-03","Ma_127",5,84,10.8,85.4,269.4,1.78,57.8,2.44,75.446,5.404,50.016,4.4,6.2,"C","7",780
"781","Sa-8-12129-04","Ma_128",6,87.5,12.5,87.8333333333333,276.5,2.28333333333333,59.5,2.53333333333333,85.42,6.665,56.2183333333333,5.16666666666667,7.16666666666667,"C","7",781
"782","Sa-21-30218-03","Ma_13",6,90,9.66666666666667,88.8333333333333,257.5,1.78333333333333,57.5,2.43333333333333,54.67,5.28166666666667,34.59,5.16666666666667,4.66666666666667,"C","7",782
"783","Sa-21-30507-01","Ma_14",6,89,13.3333333333333,87.8333333333333,272.833333333333,1.66666666666667,49.3333333333333,2.33333333333333,55.6866666666667,4.77333333333333,33.485,5.5,7.16666666666667,"C","7",783
"784","Sa-21-30507-02","Ma_15",6,83,10,84.3333333333333,207.333333333333,1.66666666666667,41.3333333333333,2.05,52.2466666666667,7.075,35.27,4.66666666666667,5.33333333333333,"C","7",784
"785","Sa-21-30515-01","Ma_17",5,89,12,88.8,284.2,1.74,55.4,2.1,62.924,5.256,41.688,5.2,6.4,"C","7",785
"786","Sa-21-30515-02","Ma_18",6,89.5,10.8333333333333,90.3333333333333,218,2.06666666666667,46.8333333333333,2.53333333333333,50.3883333333333,5.3,30.4733333333333,4.33333333333333,6.5,"C","7",786
"787","Sa-21-28423-02","Ma_2",6,84.5,11,84,282.166666666667,1.95,51.6666666666667,2.38,61.522,6.102,41.204,5.16666666666667,5.66666666666667,"C","7",787
"788","Sa-21-30529-02","Ma_20",6,84.5,13.3333333333333,84.3333333333333,303.833333333333,2.1,49.6666666666667,2.2,73.622,6.414,48.45,5.5,7.5,"C","7",788
"789","Sa-21-30529-03","Ma_21",6,84,16,83.8333333333333,254.833333333333,1.58333333333333,48.1666666666667,2.1,55.972,6.444,38.11,6.16666666666667,9.83333333333333,"C","7",789
"790","Sa-21-82410-01","Ma_22",6,86,12.6666666666667,81.6666666666667,236.166666666667,1.78333333333333,58.3333333333333,2.15,67.9383333333333,7.365,47.6033333333333,5.33333333333333,7.66666666666667,"C","7",790
"791","Sa-21-82410-02","Ma_23",6,84.5,9,84.1666666666667,236.666666666667,1.65,51,2.28333333333333,53.69,6.27666666666667,37.0766666666667,4,4.83333333333333,"C","7",791
"792","Sa-21-82410-03","Ma_24",5,85,7.6,84.8,247,1.7,54.2,2.44,62.574,5.13,36.808,2.8,5,"C","7",792
"793","Sa-21-82410-04","Ma_25",5,83,12.8,83.2,181.6,1.78,40.2,2.05,36.0325,4.2075,25.2325,3.8,9.2,"C","7",793
"794","Sa-24-60424-01","Ma_26",6,88,10.5,88.3333333333333,270.166666666667,1.8,50.5,2.26,71.144,5.98,47.736,4.33333333333333,6,"C","7",794
"795","Sa-24-60424-03","Ma_28",5,94,16.6,93.4,313.6,2.04,60.6,2.82,89.99,6.932,58.412,4.6,11.4,"C","7",795
"796","Sa-21-28423-03","Ma_3",4,89,13.5,89.25,228.25,1.925,43.5,2.2,41.45,6.21,31.2375,6.25,7.75,"C","7",796
"797","Sa-6-3189-01","Ma_30",5,85,13,85.8,217.4,1.82,45.6,2.36,47.62,5.012,26.64,4.6,8.2,"C","7",797
"798","Sa-6-3189-02","Ma_31",5,88,14.6,89.2,225.4,1.76,48.6,2.4,47.834,5.104,28.16,6.8,7.8,"C","7",798
"799","Sa-6-3189-03","Ma_32",6,86.5,10.1666666666667,86.5,240,1.85,47.8333333333333,2.43333333333333,60.8633333333333,7.33,41.2383333333333,5.16666666666667,5,"C","7",799
"800","Sa-6-3385-01","Ma_34",5,85,20.8,82.4,254.4,1.68,50.2,2.2,34.276,4.224,17.216,9.6,11,"C","7",800
"801","Sa-6-4253-01","Ma_35",5,82,11.6,82,275.6,1.66,45,2.16,45.06,4.576,27.55,5.2,6.2,"C","7",801
"802","Sa-6-4253-02","Ma_36",6,89,13.6666666666667,89.3333333333333,210.166666666667,1.78333333333333,42.5,2.1,47.6033333333333,6.45333333333333,32.9333333333333,6.33333333333333,7.5,"C","7",802
"803","Sa-6-51263-01","Ma_37",6,87,13.8333333333333,86.6666666666667,251,1.93333333333333,46.6666666666667,2.25,60.9016666666667,6.71333333333333,43.7333333333333,5.83333333333333,7.83333333333333,"C","7",803
"804","Sa-6-51263-02","Ma_38",5,83,15.8,82.8,253.4,1.74,42.8,2.3,67.122,6.308,41.68,7,8.6,"C","7",804
"805","Sa-8-11559-01","Ma_39",6,83.5,9.5,80.3333333333333,222.166666666667,1.66666666666667,47,2.08333333333333,36.69,4.875,22.21,4,5.83333333333333,"C","7",805
"806","Sa-8-11559-03","Ma_41",6,88.5,8.16666666666667,88.3333333333333,193.833333333333,2.08333333333333,45.8333333333333,2.58333333333333,44.65,6.02833333333333,28.045,2.66666666666667,5.5,"C","7",806
"807","Sa-8-7085-01","Ma_42",6,85,12.3333333333333,84.8333333333333,269.5,1.86666666666667,56.5,2.51666666666667,70.1666666666667,4.995,43.305,4.33333333333333,7.66666666666667,"C","7",807
"808","Sa-8-7085-02","Ma_43",5,88,17.8,88.8,235,1.82,44.6,2.3,43.552,4.308,24.816,6.8,11.2,"C","7",808
"809","Sa-8-7085-03","Ma_44",4,89,15,90.5,236.5,2.05,46,2.35,74.9475,6.2575,54.9975,6.5,8,"C","7",809
"810","Sa-8-7085-04","Ma_45",5,89,16.8,88.4,269.8,1.76,46.2,2.375,60.885,5.845,39.295,6.4,10.2,"C","7",810
"811","Sa-8-7085-05","Ma_46",6,85,16.5,85.1666666666667,263.166666666667,1.56666666666667,53.5,2.3,53.865,5.33166666666667,39.19,5.16666666666667,11.6666666666667,"C","7",811
"812","Sa-8-7085-06","Ma_47",6,84,12.1666666666667,83,230.833333333333,1.85,47.5,2.16,46.978,5.834,33.438,4.5,7.66666666666667,"C","7",812
"813","Sa-21-28425-02","Ma_5",5,91,14,91.2,265.8,1.7,55.8,2.3,58.552,6.778,36.098,5,8.4,"C","7",813
"814","Sa-21-30147-01","Ma_7",6,87.5,10.3333333333333,87.3333333333333,253.333333333333,1.86666666666667,54,2.51666666666667,57.3916666666667,5.545,36.3083333333333,5.5,4.66666666666667,"C","7",814
"815","Sa-21-30147-02","Ma_8",6,86,16.1666666666667,86.8333333333333,284.833333333333,1.93333333333333,45,2.38333333333333,60.13,6.77666666666667,39.5033333333333,5.83333333333333,10.5,"C","7",815
"816","Sa-21-30147-03","Ma_9",4,89.5,14.5,90.25,228.75,1.925,45,2.56666666666667,65.95,6.27666666666667,41.9733333333333,4.25,10,"C","7",816
"817","So-21-30218-02","Pod_100",6,56,13.1666666666667,56.1666666666667,266.666666666667,1.78333333333333,60.5,2.83333333333333,83.8683333333333,7.87333333333333,51.57,4.83333333333333,7.83333333333333,"C","7",817
"818","So-21-30218-03","Pod_101",6,55,12.3333333333333,55.6666666666667,252.333333333333,1.81666666666667,65.6666666666667,2.45,90.6433333333333,5.36166666666667,56.945,3,9.16666666666667,"C","7",818
"819","So-21-30507-01","Pod_102",6,54.5,9.66666666666667,54.1666666666667,247.5,1.56666666666667,62.3333333333333,2.75,103.245,6.85,68.6416666666667,2.33333333333333,7.5,"C","7",819
"820","So-21-30522-01","Pod_105",6,50.5,9.16666666666667,50.5,231.333333333333,1.58333333333333,72.8333333333333,2.01666666666667,93.7033333333333,8.14333333333333,64.7033333333333,3,6.16666666666667,"C","7",820
"821","So-21-30522-02","Pod_106",4,53,9.75,53,266.8,1.68,74.8,2.4,86.1025,7.5575,53.0925,2.75,7.25,"C","7",821
"822","So-21-30522-03","Pod_107",6,51.5,12,51.8333333333333,236.333333333333,1.45,69.3333333333333,2.45,80.3933333333333,7.96666666666667,52.3933333333333,3,9,"C","7",822
"823","So-21-30529-01","Pod_108",6,51.5,14.6666666666667,51.6666666666667,231.5,1.46666666666667,54.8333333333333,2.35,77.0666666666667,7.185,48.6066666666667,5,9.66666666666667,"C","7",823
"824","So-21-30529-02","Pod_109",6,49.5,11.1666666666667,49,225.666666666667,1.38333333333333,49,2.13333333333333,50.4733333333333,4.50666666666667,27.9883333333333,4,7.16666666666667,"C","7",824
"825","So-21-30529-03","Pod_110",5,51,10.8,50.2,235.8,1.48,55,2.54,82.58,6.738,52.204,3.4,7.6,"C","7",825
"826","So-6-3385-01","Pod_114",6,54,10.3333333333333,54,254.833333333333,1.68333333333333,69.8333333333333,2.48333333333333,84.4916666666667,7.34166666666667,52.4866666666667,3,7,"C","7",826
"827","So-6-3385-02","Pod_115",5,55,11.4,54.8,245.2,1.42,64.2,2.24,72.098,6.538,46.632,2.8,8.4,"C","7",827
"828","So-6-4253-01","Pod_116",5,57,7,56,265.6,1.52,77.8,2.275,69.2075,6.3325,39.6125,2.4,4.8,"C","7",828
"829","So-6-4452-01","Pod_118",6,54,11.1666666666667,53.3333333333333,240.666666666667,1.7,56.1666666666667,2.15,63.4166666666667,6.27166666666667,39.055,4.66666666666667,6.5,"C","7",829
