Code_ADN	Code	Nind	50%floraison	Nbtalles	Epiaison	Longbrin	Diambrin	LongEpi	DiamEpi	PEpi	P1000	Pgrains	Tutiles	Tsteriles
So-10-20279-01	Pod_57	8	53.5	8	53.125	239.5	1.89125	56.75	2.90875	75.96875	7.4875	45.98714286	4.125	4
So-10-20279-02	Pod_58	7	47	11.42857143	47.42857143	230.5714286	1.392857143	52.14285714	1.874285714	37.46666667	7.4175	26.4825	7.142857143	3.571428571
So-10-20279-03	Pod_59	7	48	9.285714286	49.16666667	242.2857143	1.435	52.71428571	2.178571429	41.98666667	7.182	21.06333333	4.142857143	5
So-10-20302-01	Pod_60	8	54	6.125	54.25	247.25	1.9625	58.6875	3.0575	114.41	8.985	70.08333333	3.375	2.75
So-10-20302-03	Pod_62	8	55	9	53.75	235	1.805	56.75	2.7075	79.18857143	8.3	40.07714286	3.75	5.5
So-10-20327-01	Pod_63	8	48.5	13.25	48.75	238.25	1.5925	56.375	2.325	47.08333333	8.828	24.60333333	6.875	6.25
So-10-20327-02	Pod_64	7	58	9	58.71428571	257.2857143	1.61	57.42857143	2.275714286	63.97285714	7.8	22.08	4.428571429	4.142857143
So-10-20327-03	Pod_65	8	56.5	10.5	57.375	259.7571429	1.793333333	57.14285714	2.641428571	88.07	8.81	51.01	4.25	5.875
So-10-20333-01	Pod_66	8	49.5	11.125	50.25	241.25	1.62875	58.375	2.3825	84.72	7.81	42.7425	5.25	5.5
So-10-20333-02	Pod_67	3	57.5	9.5	58.5	266.3333333	1.686666667	93	2.753333333	72.41333333	8.556666667	34.94666667	5	7
So-10-20333-03	Pod_68	7	50	12.57142857	50.28571429	253.8571429	1.684285714	64.71428571	2.727142857	71.02571429	7.671428571	43.25	5.571428571	6.714285714
So-10-20333-04	Pod_69	8	54	9.375	53.625	240.375	1.99375	64.25	2.79625	91.42	9.192857143	44.59285714	4	5
So-10-20347-01	Pod_71	8	49	12	50	244.975	1.78625	60.625	2.45625	70.04	8.426	44.396	5.625	6.125
So-10-20347-02	Pod_72	8	52.5	8.75	52.125	262.625	1.6975	62.0625	2.925	85.91625	7.08875	49.50625	5	3.375
So-10-20347-03	Pod_73	8	55.5	7.75	55.5	250.75	1.66	56.6875	2.2525	56.87142857	7.797142857	38.92	4.875	3.125
So-10-20363-02	Pod_75	6	48	8.833333333	48.28571429	239.7142857	1.524285714	50.57142857	2.248571429	44.116	7.784	25.0675	6.857142857	2.5
So-10-56965-01	Pod_77	6	55	6.833333333	54.16666667	258.2	1.838	68.4	2.806	91.934	8.172	28.27	4.333333333	2.666666667
So-10-56965-02	Pod_78	8	53	11.375	52.875	257.1875	1.59625	58.25	2.54	61.9975	8.044285714	36.35857143	5.375	5.875
So-10-56965-03	Pod_79	8	56	8.625	54.5	247.5	1.585	56.25	2.6525	82.26428571	8.014285714	46.63571429	3.625	5.125
