Code_ADN	Code	Nind	50%floraison	Nbtalles	Epiaison	Longbrin	Diambrin	LongEpi	DiamEpi	PEpi	P1000	Pgrains	Tutiles	Tsteriles
Sa-8-7085-01	Ma_42	8	76	11.25	75.625	302.625	1.6225	55.75	2.50625	47.125	4.92	20.90375	5.625	5.625
Sa-8-7085-02	Ma_43	8	77	11.875	76.5	314.625	1.85875	53.875	2.6475	76.25	6.67875	34.89625	6.25	5.25
Sa-8-7085-03	Ma_44	7	79	12.5714285714286	79.2857142857143	286.142857142857	1.77857142857143	53	2.21285714285714	39.4285714285714	3.45571428571429	16.6557142857143	6.28571428571429	6.28571428571429
Sa-8-7085-04	Ma_45	5	79	12.6	79	309.4	1.928	47.6	2.282	60.4	5.376	34.422	7.2	5.2
Sa-8-7085-05	Ma_46	7	79	13.7142857142857	77.8571428571429	306.714285714286	1.59857142857143	55.5714285714286	2.66714285714286	53.6666666666667	6.258	26.338	6.85714285714286	6.42857142857143
Sa-8-7085-06	Ma_47	8	78	8.25	77.75	285	1.7675	51.75	2.62	75.25	6.5625	36.8175	3.625	4.75
Sa-21-28425-02	Ma_5	8	80.5	10.125	80	307.25	1.9225	58.75	2.44	63.5	7.84142857142857	33.9928571428571	4.5	5.375
Sa-21-30147-01	Ma_7	7	79	9.28571428571429	78.7142857142857	294.714285714286	1.85714285714286	53.2857142857143	2.7	76.2857142857143	7.39857142857143	41.5571428571429	4.42857142857143	5
Sa-21-30147-02	Ma_8	6	77	11.5	76	343.5	1.98666666666667	56.5833333333333	2.575	88.6666666666667	8.23666666666667	51.5133333333333	6.83333333333333	4.83333333333333
Sa-21-30147-03	Ma_9	8	77	8.125	77.5714285714286	307.875	1.945	55.5	2.79625	66.25	6.80142857142857	35.2	5.125	3
So-21-30218-02	Pod_100	8	49.5	9.125	48.875	283.5	1.9025	67.5625	2.99	100.25	7.935	62.18875	4.375	4.5
So-21-30218-03	Pod_101	8	45.5	11	45.5	252.875	1.69875	65.8125	2.57	73.37875	6.525	35.75	5.625	5
So-21-30507-01	Pod_102	7	44	7.42857142857143	45.8571428571429	244.428571428571	1.56285714285714	65.0428571428571	2.67571428571429	76.4142857142857	6.82285714285714	50.21	4.42857142857143	3
So-21-30522-01	Pod_105	7	44	11.8571428571429	44.8571428571429	241.571428571429	1.52	66.0714285714286	2.05285714285714	55.5714285714286	7.91	30.9528571428571	6.28571428571429	5.14285714285714
So-21-30522-02	Pod_106	8	44	11.75	43.875	276.125	1.64	79.25	2.29	65.25	8.3875	36.8475	4.875	6.5
So-21-30522-03	Pod_107	8	47	9.625	47.5	248.875	1.54	69.6875	2.56375	75.25	8.23875	46.8225	4.625	5.125
So-21-30529-01	Pod_108	8	49.5	10.25	48.875	226.5	1.4825	50.875	2.36125	67.7275	8.4225	47.16375	4.125	5.25
So-21-30529-02	Pod_109	6	43	8.33333333333333	43.3333333333333	217.166666666667	1.225	54.6666666666667	1.96833333333333	46.6666666666667	6.765	25.4183333333333	5.5	3
So-21-30529-03	Pod_110	8	46.5	10.75	46.25	255.75	1.7275	60.0625	2.5725	79.0125	8.235	47.23375	4.625	5.75
So-6-3385-01	Pod_114	8	51	8.75	50.375	248.5	1.5475	66.375	2.6625	51.75	7.72	18.0742857142857	4.375	4.5
So-6-3385-02	Pod_115	7	50	10.1428571428571	50.5714285714286	256.428571428571	1.80714285714286	79.4285714285714	2.47428571428571	66.7142857142857	6.865	31.7516666666667	4.42857142857143	5.71428571428571
So-6-4253-01	Pod_116	8	45	13.125	46.25	272.75	1.8825	88.1875	2.3475	64	7.00625	34.83	5.75	6.625
So-6-4452-01	Pod_118	8	47	11.875	45.5	246.375	1.8025	63	2.65125	82.875	8.22125	35.125	5	6.5
So-6-4452-02	Pod_119	8	47.5	9.625	47.25	262.75	1.62	71.875	2.4425	66.44625	7.52625	38.875	4.875	5
So-6-51263-02	Pod_121	8	48	12	47.875	234.625	1.63857142857143	66.625	2.4275	79.25	6.52875	48.70375	5.875	6.125
